m0838V   2747.0   5.09   0.00    10.0  0.000  0.000   0
m0816V   2750.0   0.00   0.00   181.2  0.000  0.000   0
m0890V   2799.0   5.12   0.00   115.3  0.000  0.000   0
m1317V   2810.0   4.59   0.04   100.0  0.000  0.000   0
m0459V   2924.0   0.00   0.00   148.0  0.000  0.000   0
m0508V   3000.0   0.00  -0.58   166.8  0.000  0.000   0
m1313V   3012.0   4.99  -0.14   100.0  0.000  0.000   0
m1304V   3035.0   4.32  -0.04   100.0  0.000  0.000   0
m1316V   3044.0   4.60  -0.02   100.0  0.000  0.000   0
m1308V   3073.0   4.74  -0.15   100.0  0.000  0.000   0
m1302V   3133.0   4.76  -0.11   100.0  0.000  0.000   0
m1314V   3134.0   4.59  -0.13   100.0  0.000  0.000   0
m0685V   3228.0   0.56  -0.24   218.2  0.170  0.170   0
m1303V   3229.0   4.84   0.06   100.0  0.000  0.000   0
m0103V   3250.0   0.30  -0.24   205.6  0.340  0.340   0
m0691V   3270.0   0.50   0.00   163.7  0.000  0.000   0
m1307V   3275.0   4.87  -0.38   100.0  0.000  0.000   0
m1306V   3304.0   4.88   0.04   100.0  0.000  0.000   0
m0012V   3330.0   5.08  -1.40   176.6  0.100  0.100   0
m0651V   3365.0   0.70   0.01   230.6  0.180  0.180   0
m0690V   3365.0   4.93  -0.54   150.1  0.000  0.000   0
m0704V   3382.0   0.55  -0.06   249.1  0.170  0.170   0
m1312V   3385.0   4.72   0.14   100.0  0.000  0.000   0
m0279V   3399.0   0.61  -0.04   165.6  0.180  0.180   0
m0781V   3400.0   0.30  -0.24   178.7  0.000  0.000   0
m1305V   3411.0   4.78  -0.19   100.0  0.000  0.000   0
m0705V   3420.0   0.50   0.14    10.0  0.000  0.000   0
m1301V   3422.0   4.75  -0.02   100.0  0.000  0.000   0
m1309V   3431.0   4.87   0.13   100.0  0.000  0.000   0
m0164V   3451.0   0.80  -0.15   234.8  0.000  0.000   0
m1311V   3451.0   4.72  -0.09   100.0  0.000  0.000   0
m0727V   3467.0   0.60  -0.04    10.0  0.200  0.200   0
m0400V   3471.0   0.80   0.00   196.1  0.000  0.000   0
m0271V   3478.0   0.71   0.09   226.6  0.140  0.140   0
m0497V   3484.0   0.85   0.00   155.7  0.000  0.000   0
m0531V   4077.0   5.00  -0.05   123.4  0.080  0.080   1
m0487V   3529.0   0.98  -0.09   236.2  0.000  0.000   0
m0199V   3550.0   0.00   0.03   371.9  0.000  0.000   0
m0398V   3550.0   4.82  -0.40   229.9  0.140  0.140   0
m0099V   3560.0   0.60   0.00    10.0  0.000  0.000   0
m1310V   3566.0   4.93   0.12   100.0  0.000  0.000   0
m1315V   3585.0   4.78  -0.23    25.0  0.000  0.000   0
m0399V   3600.0   4.90  -0.45   197.9  0.100  0.100   0
m0053V   3600.0   1.10   0.02   213.4 -0.090 -0.090   0
m0177V   3600.0   0.80  -0.72   289.2  0.200  0.200   0
m0614V   3640.0   0.70  -0.10   203.1  0.220  0.220   0
m0614V   3640.0   0.70  -0.10     2.0  3.100  3.100   0
m0669V   3640.0   0.70   0.00   232.5  0.190  0.190   0
m0481V   3661.0   1.55   0.30   166.4  0.170  0.170   0
m0486V   3672.0   1.25  -0.24   176.0  0.000  0.000   0
m0397V   3700.0   1.22  -0.23   204.3  0.220  0.220   0
m0484V   3700.0   1.00  -0.35   159.9 -0.050 -0.050   0
m0211V   3707.0   0.17   0.18   182.8  0.180  0.180   0
m0871V   3730.0   0.90   0.27   249.7  0.080  0.080   0
m0535V   3767.5   0.65  -1.05   200.1  0.280  0.280   0
m0859V   3779.9   0.77  -0.70   322.4  0.140  0.140   0
m0674V   3788.0   1.45  -0.08    10.0  0.040  0.040   0
m0186V   3789.0   0.70  -0.15   210.4  0.180  0.180   0
m0590V   3793.0   1.40   0.32   494.1  0.200  0.200   0
m0760V   4039.0   0.93  -0.25    10.0  0.090  0.090   1
m0555V   3810.0   1.10   0.07   211.7  0.080  0.080   0
m0024V   3830.0   1.44  -0.01   289.4  0.060  0.060   0
m0234V   3830.0   0.44   0.13   290.9  0.080  0.080   0
m0269V   3870.0   1.50   0.24   277.9  0.040  0.040   0
m0197V   3883.0   1.60  -0.41   191.6  0.200  0.200   0
m0264V   3884.0   1.20   0.12   255.2  0.060  0.060   0
m0333V   3890.0   1.55  -0.29   236.8  0.160  0.160   0
m0300V   4120.0   1.82  -0.14   311.8  0.100  0.100   1
m0561V   3895.0   1.41  -0.01   276.7  0.040  0.040   0
m0784V   4048.0   1.20  -0.32   266.4  0.070  0.070   1
m0650V   3902.0   1.32  -0.05   312.1  0.050  0.050   0
m0250V   3904.0   0.48   0.12   249.6  0.040  0.040   0
m0603V   3910.0   1.60   0.30   247.2  0.190  0.190   0
m0833V   3910.0   1.59  -0.21   257.3  0.090  0.090   0
m0032V   3912.0   1.45  -0.14   227.9  0.080  0.080   0
m0560V   3915.0   1.46   0.25   177.8  0.100  0.100   0
m0157V   3922.0   1.41  -0.18   460.5  0.170  0.170   0
m0038V   3924.2   1.03  -0.94    10.0  0.360  0.360   0
m0606V   3927.0   1.39  -0.17   247.8  0.160  0.160   0
m0413V   3939.0   1.80  -0.31   154.3  0.100  0.100   0
m0036V   3950.0   1.66   0.00   205.1  0.050  0.050   0
m0720V   3950.0   0.75  -1.70    10.0 -0.800 -0.800   0
m0551V   3952.0   1.13  -0.21   268.2  0.070  0.070   0
m0536V   3955.0   1.48   0.05   156.8  0.040  0.040   0
m0287V   4022.0   1.44  -0.34   234.8  0.110  0.110   1
m0275V   3961.0   1.52  -0.22    10.0  0.240  0.240   0
m0452V   3748.0   4.75   0.10   178.8  0.010  0.010   0
m0339V   3769.0   4.71  -0.40   246.6  0.170  0.170   0
m0530V   4106.0   1.68  -0.01   204.1  0.030  0.030   1
m0227V   3975.0   1.50   0.05   263.3  0.080  0.080   0
m0640V   4001.0   1.38  -0.19   269.4  0.200  0.200   1
m0731V   3983.0   0.30  -1.73   186.1  0.240  0.240   0
m0391V   4090.0   1.96  -0.38   216.0  0.130  0.130   1
m0615V   4276.0   1.66  -0.11   233.8  0.160  0.160   1
m0597V   4070.0   1.46  -0.02   187.7 -0.010 -0.010   1
m1205V   4070.0   1.46  -0.02   144.6 -0.010 -0.010   1
m0268V   3996.0   1.47  -0.11   282.3  0.010  0.010   0
m0161V   4048.0   1.16  -0.34   201.9  0.190  0.190   1
m0236V   4045.0   1.48  -0.31   210.8  0.200  0.200   1
m0967V   4014.0   1.32  -0.84    77.6  0.220  0.220   0
m0355V   4030.0   1.87   0.09   278.9  0.020  0.020   1
m0758V   4071.0   1.36  -0.28    10.0  0.320  0.320   1
m0926V   4031.0   0.65  -1.11    67.9  0.400  0.400   0
m0156V   4034.0   1.79  -0.30   177.3  0.060  0.060   0
