X0422V    3100  0.0  -0.5  1.0                   C* # Gonneau+2017A&A601..141, IRAS 09484-6242, very low TiO/NaD, exclude it!
X0423V    2947  0.56 -0.59 100.0               Mira # XSL
X0451V    3010  0.41  0.22 100.0               Mira # XSL, very high TiO2
X0483V    3023  0.66 -0.52 100.0               Mira # XSL
X0490V    3057  0.37 -0.25 100.0               Mira # XSL
X0068V    3063  0.57 -0.36 100.0               Mira # XSL 
X0487V    3080  0.58 -0.35 100.0               Mira # XSL
X0473V    3089  0.30 -0.38 100.0               Mira # XSL 
X0484V    3113  1.35 -0.23 100.0               Mira # XSL 
X0070V    3115  0.77 -0.51 100.0               Mira # XSL
X0071V    3116  0.21 -0.36 100.0               Mira # XSL, very high TiO2
X0452V    3187  0.83 -0.23 100.0               Mira # XSL
X0007V    3201  0.64 -0.44 100.0               Mira # XSL 
X0479V    3213  0.81 -0.50 100.0               Mira # XSL
X0485V    3224  0.50 -0.21 100.0               AGB* # XSL
X0486V    3228  0.31  0.05 100.0                 C* # XSL
X0416V    3239  5.00 -0.26 100.0            HighPM* # XSL, better XSL for TiO2 
X0459V    3276  0.36 -0.39 100.0       LongPeriodV* # XSL
X0480V    3292  0.76 -0.20 100.0               Mira # XSL
X0470V    3293  0.46 -0.42 100.0       LongPeriodV* # XSL
X0474V    3298  0.12 -0.16 100.0               AGB* # XSL
X0468V    3305  0.28 -0.07 100.0       LongPeriodV* # XSL
X0458V    3311 -0.05 -0.22 100.0       LongPeriodV* # XSL
X0445V    3315  0.58 -0.40 100.0               Mira # XSL
X0462V    3319  0.24 -0.17 100.0       LongPeriodV* # XSL
X0413V    3325  4.90 -0.36 100.0                 ** # XSL, Double or Multiple Star, HIP 84123
X0478V    3338  1.27 -0.57 100.0               Mira # XSL
X0418V    3352  1.75 -0.64 100.0       LongPeriodV* # XSL
X0489V    3353  0.69 -0.14 100.0               Mira # XSL
X0035V    3360  1.05 -0.45 100.0              RedSG # XSL
X0488V    3368  1.04 -0.37 100.0               Mira # XSL
X0573V    3368  0.23 -0.45 100.0               AGB* # XSL
X0575V    3384  0.29 -0.24 100.0               AGB* # XSL
X0084V    3321  4.70 -0.07 100.0            HighPM* # average pars from KUZNETSOV2019ApJ...878..134K
X0442V    3396  1.03 -0.52 100.0              RedSG # XSL
X0439V    3399  0.65 -0.58 100.0              RedSG # XSL
X0455V    3413 -0.02 -0.41 100.0       LongPeriodV* # XSL
X0482V    3430  1.27 -0.61 100.0               Mira # XSL
X0444V    3438  1.16 -0.47 100.0               Mira # XSL
X0008V    3453  0.67 -0.12 100.0               AGB* # XSL
X0432V    3469  0.59 -0.82 100.0              RedSG # XSL
X0427V    3489  4.85 -0.57 100.0          Low-Mass* # XSL, TiO2 and NaD OK, LHS 320
X0477V    3491  0.23 -0.54 100.0               Mira # XSL
X0412V    3499  4.80  0.00 100.0            HighPM* # XSL, TiO2 OK 
X0253V    3521  4.79 -0.25 100.0            HighPM* # XSL, higher Teff would not match the TiOs well
X0419V    3522  0.09  0.25 100.0       LongPeriodV* # XSL
X0447V    3533  1.18 -0.50 100.0               Mira # XSL
X0446V    3546  1.08 -0.55 100.0               Mira # XSL
X0417V    3553  0.31 -0.09  10.0       LongPeriodV* # scatter among XSL's, low TiO, DECR. S/N  LP Variable
X0476V    3558  0.21 -0.35 100.0               AGB* # XSL
X0475V    3562 -0.03 -0.30 100.0              RedSG # XSL
X0431V    3574  0.34 -0.05 100.0              RedSG # XSL
X0438V    3592  0.69 -0.60 100.0              RedSG # XSL, seems better than Jonsson, Red Supergiant
X0583V    3593  0.14 -0.44 100.0               Star # XSL
X0443V    3607  0.88 -0.98 100.0              RedSG # XSL
X0433V    3637  0.68 -0.91 100.0              RedSG # XSL
X0460V    3641  1.05 -0.61 100.0               Mira # XSL
X0587V    3675  0.87 -0.17 100.0              Blend # XSL, Composite Object, Blend
X0465V    3677  0.79 -0.46 100.0       LongPeriodV* # XSL
