# Miles n_Miles Teff  e_Teff logg e_logg [Fe/H] e_[Fe/H] cz  sig Refs Name     SB Teff  e_Teff log(g) e_log(g) [Fe/H] e_[Fe/H] cz  sig S/Nu S/Nb S/Ni AV    Ref SimbadName _RA       _DE       deltaTeff
  608   ""      35500 ""     5.7  ""     -1.3   ""       ""  ""  2,9  hd149382 "" 27535 1985   3.92   0.76     -0.55  0.16     -36 513 1491 500  218  0.44  ""  HD149382   248.59722 -4.01445  7965     
  701   ""      18073 1942   3.41 0.44   0.29   0.21     -43 275 0    hd174959 "" 14321 348    4.05   0.48     0.18   0.17     3   171 1054 636  485  0.27  ""  HD174959   282.90215 36.53909  3752     
  252   *       34303 1828   3.46 0.11   0.1    0.13     36  72  0    hd057061 "" 32514 949    3.37   0.11     0.18   0.07     9   202 2195 601  409  0.63  ""  HD057061   109.67703 -24.95437 1789     
  519   ""      10200 ""     3.5  ""     -1.4   ""       ""  ""  2,27 hd128801 "" 8811  283    2.55   0.16     -1.69  0.11     16  160 492  424  269  -0.09 ""  HD128801   219.70038 7.91121   1389     
  722   ""      10325 ""     4.17 ""     -1.24  ""       ""  ""  1    hd183324 "" 8939  304    4.53   0.23     -1.3   0.5      13  297 764  550  474  -0.26 ""  HD183324   292.25412 1.95045   1386     
  251   ""      33215 2674   3.28 0.16   -0.03  0.2      10  115 0    hd057060 "" 32508 1928   3.39   0.26     0.24   0.14     58  229 2656 577  399  0.72  ""  HD057060   109.66825 -24.5587  707      
  456   ""      12303 487    4.09 0.22   0.9    0.16     9   66  0    hd112413 "" 11658 471    3.78   1.19     0.68   0.17     -1  133 1036 541  452  -0.08 ""  HD112413   194.00694 38.31838  645      
  697   *       4278  123    0.25 0.21   -0.86  0.15     -27 57  0    hd173819 "" 3650  102    0.51   1.38     -0.11  0.88     5   152 17   212  672  -0.79 ""  HD173819   281.87062 -5.70515  628      
  737   ""      21004 1827   3.14 0.16   0.05   0.12     0   52  0    hd187879 "" 20420 1274   3.18   0.28     -0.02  0.14     -12 174 688  608  517  0.4   ""  HD187879   297.65553 40.59976  584      
  453   ""      8080  ""     3.88 ""     -1.5   ""       ""  ""  16   hd111786 "" 7549  45     4.17   0.21     -1.06  0.21     3   166 774  600  564  0.09  ""  HD111786   192.99123 -26.73827 531      
  317   ""      8900  ""     3.38 ""     -1.32  ""       ""  ""  1,4  hd074721 "" 8475  96     3.35   0.25     -1.47  0.11     1   121 420  417  295  0.05  ""  HD074721   131.49692 13.2635   425      
  403   ""      9201  277    3.68 0.24   -0.16  0.13     11  44  0    hd097633 "" 8790  351    3.59   0.89     -0.64  0.18     -11 119 805  582  481  -0.04 ""  HD097633   168.56002 15.42957  411      
  18    ""      8000  ""     2.7  ""     -1.5   ""       ""  ""  1,4  hd002857 "" 7607  12     3.78   0.09     -1.35  0.06     3   118 127  165  58   -0.12 ""  HD002857   7.97413   -5.26191  393      
  668   ""      9000  ""     2.36 ""     -1.5   ""       ""  ""  4,27 hd167105 "" 8637  143    3.25   0.24     -1.52  0.1      15  109 325  356  235  0.07  ""  HD167105   272.77629 50.79234  363      
