XSL_HD2796_SIGrMILES.fits                0017 HD2796               HD002796             X0086V
XSL_HD2857_SIGrMILES.fits                0018 HD2857               HD002857             X0087V
XSL_HD3008_SIGrMILES.fits                0019 HD3008               HD003008             X0088V
XSL_HD3883_SIGrMILES.fits                0027 HD3883               HD003883             X0089V
XSL_HD4539_SIGrMILES.fits                0030 HD4539               HD004539             X0090V
XSL_HD4906_SIGrMILES.fits                0034 HD4906               HD004906             X0093V
XSL_HD6268_SIGrMILES.fits                0042 HD6268               HD006268             X0097V
XSL_HD6229_SIGrMILES.fits                0043 HD6229               HD006229             X0096V
XSL_HD7595_SIGrMILES.fits                0055 HD7595               HD007595             X0098V
XSL_HD8724_SIGrMILES.fits                0057 HD8724               HD008724             X0099V
XSL_HD9356_SIGrMILES.fits                0060 HD9356               HD009356             X0101V
XSL_HD13043_SIGrMILES.fits               0076 HD13043              HD013043             X0102V
XSL_HD14938_SIGrMILES.fits               0086 HD14938              HD014938             X0104V
XSL_HD16031_SIGrMILES.fits               0089 HD16031              HD016031             X0105V
XSL_HD16232_SIGrMILES.fits               0091 HD16232              HD016232             X0107V
XSL_HD16673_SIGrMILES.fits               0092 HD16673              HD016673             X0109V
XSL_BDp090352_SIGrMILES.fits             0596 BDp090352            BD+090352            X0017V
XSL_HD19445_SIGrMILES.fits               0106 HD19445              HD019445             X0115V
XSL_HD20619_SIGrMILES.fits               0112 HD20619              HD020619             X0117V
XSL_HD21197_SIGrMILES.fits               0117 HD21197              HD021197             X0118V
XSL_HD23924_SIGrMILES.fits               0131 HD23924              HD023924             X0119V
XSL_HD24616_SIGrMILES.fits               0132 HD24616              HD024616             X0120V
XSL_HD25329_SIGrMILES.fits               0136 HD25329              HD025329             X0121V
XSL_HD25532_SIGrMILES.fits               0137 HD25532              HD025532             X0122V
XSL_HD25673_SIGrMILES.fits               0138 HD25673              HD025673             X0123V
XSL_HD26297_SIGrMILES.fits               0139 HD26297              HD026297             X0124V
XSL_BDp060648_SIGrMILES.fits             0142 BDp060648            BD+060648            X0015V
XSL_HD284248_SIGrMILES.fits              0143 HD284248             HD284248             X0401V
XSL_HD27295_SIGrMILES.fits               0148 HD27295              HD027295             X0125V
XSL_HD27771_SIGrMILES.fits               0150 HD27771              HD027771             X0126V
XSL_HD28978_SIGrMILES.fits               0155 HD28978              HD028978             X0127V
XSL_HD30743_SIGrMILES.fits               0160 HD30743              HD030743             X0130V
XSL_HD35179_SIGrMILES.fits               0178 HD35179              HD035179             X0135V
